item,genre,id,name,artist,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
781,Country Rock,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,0.64,0.663,0,1,-7.516,0.0374,0.201,0.00806,0.152,0.663,132.77,140773
782,Country Rock,0LQtEJt7x0s6knb6RKdRYc,Chicken Fried,Zac Brown Band,0.566,0.713,6,1,-4.25,0.0418,0.645,0.0,0.114,0.805,169.861,238147
783,Country Rock,5kB6WithhB8Iv08EMNmAbt,Memory Lane,Old Dominion,0.645,0.8,6,1,-4.272,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,172480
784,Country Rock,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,0.741,0.697,0,1,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133
785,Country Rock,0bPnT6i9H1p8Vd85GS6Z7I,Night Shift,Jon Pardi,0.63,0.754,2,1,-3.564,0.0284,0.0963,0.0,0.268,0.73,95.999,172253
786,Country Rock,0w3Q14i073jLoew1hgJkwD,Heartache On The Dance Floor,Jon Pardi,0.596,0.834,9,1,-4.308,0.0474,0.0563,0.0,0.0866,0.618,116.0,205200
787,Country Rock,7cA3PnUQDlUyBBwpRozQeo,One Man Band,Old Dominion,0.706,0.358,6,1,-8.331,0.0347,0.677,0.0,0.107,0.478,75.991,186240
788,Country Rock,20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival,0.508,0.774,2,1,-5.973,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,141600
789,Country Rock,4ly1QBXEwYoDmje9rmEgC4,Head Over Boots,Jon Pardi,0.563,0.688,7,1,-4.474,0.0262,0.0763,0.0,0.0863,0.622,108.008,202347
790,Dance Pop,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,0.561,0.965,7,0,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238
791,Dance Pop,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,0.635,0.841,5,1,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734
792,Dance Pop,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,0.726,0.698,5,1,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,233478
793,Dance Pop,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,0.853,0.56,1,1,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066,206693
794,Dance Pop,2gam98EZKrF9XuOkU13ApN,Promiscuous,Nelly Furtado,0.808,0.97,10,0,-6.098,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,242293
795,Dance Pop,0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,0.801,0.601,8,0,-7.574,0.255,0.0777,3.23e-05,0.145,0.74,159.969,182907
796,Dance Pop,6Uj1ctrBOjOas8xZXGqKk4,Woman,Doja Cat,0.824,0.764,5,0,-4.175,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627
797,Dance Pop,0ZUo4YjG4saFnEJhdWp9Bt,Before He Cheats,Carrie Underwood,0.519,0.749,6,0,-3.318,0.0405,0.271,0.0,0.119,0.29,147.905,199947
798,Dance Pop,2tJulUYLDKOg9XrtVkMgcJ,Grenade,Bruno Mars,0.704,0.558,2,0,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,222091
799,Dance Pop,60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,0.749,0.463,11,1,-8.433,0.0842,0.21,0.0382,0.338,0.189,90.035,226987
800,Dance Rock,003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,0.352,0.911,1,1,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973
801,Dance Rock,4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,0.578,0.866,1,1,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,199080
802,Dance Rock,5r5cp9IpziiIsR6b93vcnQ,Walking On A Dream,Empire of the Sun,0.871,0.701,5,0,-5.594,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,198440
803,Dance Rock,6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,The Killers,0.497,0.97,10,0,-4.851,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,197200
804,Dance Rock,70wYA8oYHoMzhRRkARoMhU,When You Were Young,The Killers,0.467,0.988,11,1,-3.313,0.112,0.000152,0.0484,0.28,0.321,130.433,220427
805,Dance Rock,20I8RduZC2PWMWTDCZuuAN,Take Me Out,Franz Ferdinand,0.277,0.663,4,0,-8.821,0.0377,0.000409,0.00051,0.136,0.527,104.561,237027
806,Dance Rock,3fH4KjXFYMmljxrcGrbPj9,Don't You (Forget About Me),Simple Minds,0.66,0.816,2,1,-6.61,0.0299,0.168,0.0181,0.0608,0.678,111.346,263040
807,Dance Rock,1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,0.692,0.711,0,0,-7.498,0.0317,0.225,0.0,0.12,0.875,125.135,216933
808,Dance Rock,2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,Hot Chelle Rae,0.686,0.783,4,1,-4.977,0.119,0.0764,0.0,0.163,0.814,99.978,200467
809,Dance Rock,5lWRaa0fBxDE5yU91npPq7,Just A Girl,No Doubt,0.638,0.906,2,1,-4.824,0.0504,0.0662,6.88e-05,0.142,0.767,107.991,209200
810,Dance-punk,2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,Hot Chelle Rae,0.686,0.783,4,1,-4.977,0.119,0.0764,0.0,0.163,0.814,99.978,200467
811,Dance-punk,4dyx5SzxPPaD8xQIid5Wjj,Young Folks,Peter Bjorn and John,0.699,0.812,0,1,-6.005,0.0377,0.0164,0.000763,0.105,0.662,138.185,276693
812,Dance-punk,1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,Talking Heads,0.721,0.521,2,1,-8.123,0.0613,0.0708,0.00545,0.127,0.942,123.118,261413
813,Dance-punk,0hDQV9X1Da5JrwhK8gu86p,Maps,Yeah Yeah Yeahs,0.502,0.941,7,1,-5.194,0.0716,0.000346,0.319,0.553,0.124,119.783,219987
814,Dance-punk,4W4wYHtsrgDiivRASVOINL,Love Shack,The B-52's,0.701,0.803,5,0,-6.786,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,320680
815,Dance-punk,1kTZ1aERsOBTrihsDdGFNn,Molly,Mindless Self Indulgence,0.683,0.814,5,0,-5.17,0.251,0.00522,0.0131,0.33,0.81,159.96,104880
816,Dance-punk,38Ngied9rBORlAbLYNCl4k,Once in a Lifetime - 2005 Remaster,Talking Heads,0.644,0.919,2,1,-6.289,0.0561,0.181,0.134,0.622,0.871,117.459,259907
817,Dance-punk,3oZUlZMXkj51AyYG8lGaE7,Shut Me Up,Mindless Self Indulgence,0.589,0.797,1,1,-4.213,0.173,0.000673,0.0,0.0246,0.787,174.039,168533
818,Dance-punk,4sscDOZCkbLSlDqcCgUJnX,Whip It,DEVO,0.78,0.869,9,1,-7.255,0.0517,0.0744,0.004,0.0621,0.957,157.902,161133
819,Dance-punk,5773KSWFzg9kCc8yazjbSt,Deceptacon,Le Tigre,0.603,0.864,4,0,-3.341,0.0668,0.055,0.00493,0.0986,0.616,160.488,184627
820,Digital Hardcore,26ZzSLUJMmYp5u1hDELEWH,Transgender,Crystal Castles,0.522,0.914,7,1,-8.285,0.0379,0.000164,0.847,0.24,0.0364,137.939,184760
821,Digital Hardcore,6E1YebXpPPtujMUljDNlOo,Kerosene,Crystal Castles,0.519,0.546,8,1,-9.368,0.0763,0.0827,0.0,0.133,0.0862,115.799,192000
822,Digital Hardcore,0Q2YGyMeeZMAvzebtxoQ5f,Vanished,Crystal Castles,0.713,0.868,0,0,-6.644,0.0305,0.00206,9.23e-05,0.225,0.641,119.98,242960
823,Digital Hardcore,3TjliM0xQ3fkza0RpINRrq,Crimewave,Crystal Castles,0.746,0.691,4,0,-7.533,0.0403,0.184,0.0259,0.205,0.888,119.982,258453
824,Digital Hardcore,6pD8zEYJc0096VvUQAcEO0,うずまき,Machine Girl,0.321,0.954,11,0,-5.083,0.357,0.0399,0.00539,0.307,0.132,185.927,232708
825,Digital Hardcore,2RD1kXtF0khwaTmr0LG6kv,Mg1,Machine Girl,0.339,0.81,10,1,-8.407,0.376,0.562,0.289,0.593,0.851,93.648,46158
826,Digital Hardcore,4orMsymF399H3xKBc0AIhx,Ghost,Machine Girl,0.705,0.924,11,0,-6.783,0.177,0.00576,0.927,0.36,0.378,154.008,185522
827,Digital Hardcore,6RpuNjTsUQo7eByN3kWvYx,Untrust Us,Crystal Castles,0.609,0.807,11,0,-5.405,0.0283,0.0376,0.204,0.13,0.203,125.906,186373
828,Digital Hardcore,3pyQ4ijJjLPW0wW1mPExdc,Athoth a Go!! Go!!,Machine Girl,0.369,0.984,8,1,-3.916,0.259,0.154,0.0154,0.284,0.31,180.045,95002
